simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,e2e_mean,3983.6398107976656,3610.361284431691,10.339090660416629,10.339090660416629,373.2785263659748,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,e2e_p90,4036.652,3652.537275571376,10.516380681386362,10.516380681386362,384.114724428624,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,e2e_p99,4052.592,4054.1054230555887,0.0373306290206922,-0.0373306290206922,1.513423055588646,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,ttft_mean,42.616489785992215,44.458239275341235,4.142650539852905,-4.142650539852905,1.84174948934902,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,ttft_p90,48.769,49.74106717854738,1.954254771129283,-1.954254771129283,0.972067178547384,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,ttft_p99,52.2753,69.03069022111583,24.27237822401277,-24.27237822401277,16.75539022111583,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,itl_mean,16.017261467527124,14.35706711617361,11.563603749426385,11.563603749426385,1.660194351353514,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,e2e_mean,4126.215816484064,3779.1062494528783,9.184964489459327,9.184964489459327,347.1095670311852,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,e2e_p90,4277.9355,3839.3582820892334,11.423190691964,11.423190691964,438.5772179107662,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,e2e_p99,4340.3138,3881.8717834725976,11.80981861583524,11.80981861583524,458.4420165274023,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,ttft_mean,47.07194671314742,46.141645326744765,2.016185985165617,2.016185985165617,0.930301386402654,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,ttft_p90,57.476,52.13494198396802,10.24468007977146,10.24468007977146,5.34105801603198,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,ttft_p99,75.32679999999999,54.88287404179573,37.25010090148579,37.25010090148579,20.44392595820426,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,itl_mean,16.5787271128899,15.02923785833464,10.309832535493303,10.309832535493303,1.5494892545552617,2,H100,,True,0.9,FP16,2,2048
