simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,0,ttft_p99,238.889,74.87519863061611,219.0495709781255,219.0495709781255,164.01380136938388,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,0,itl_mean,19.260522112777775,14.353074054856464,34.19091993231126,34.19091993231126,4.907448057921314,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,e2e_mean,4913.1662237499995,3669.7311178867753,33.883548028970026,33.883548028970026,1243.4351058632242,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,e2e_p90,5120.829,3716.907734330744,37.771216452378326,37.771216452378326,1403.9212656692562,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,e2e_p99,5120.829,4230.925106070936,21.03331710249715,21.03331710249715,889.903893929064,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,ttft_mean,97.22069555555557,45.68358012591489,112.81321491790276,112.81321491790276,51.53711542964068,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,ttft_p90,192.436,50.86676785722375,278.31379524671644,278.31379524671644,141.56923214277626,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,ttft_p99,238.889,74.87519863061611,219.0495709781255,219.0495709781255,164.01380136938388,3,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,itl_mean,19.260522112777775,14.353074054856464,34.19091993231126,34.19091993231126,4.907448057921314,3,H100,,True,0.9,FP16,2,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,0,e2e_mean,5091.024722222222,4332.861328276977,17.497984276518267,17.497984276518267,758.1633939452458,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,0,e2e_p90,5204.6351,4445.8071582008415,17.068395339627067,17.068395339627067,758.8279417991589,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,0,e2e_p99,5228.00818,5567.747649432822,6.101919318621256,-6.101919318621256,339.73946943282226,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,0,ttft_mean,51.06927566137566,53.40284098864746,4.369740043919903,-4.369740043919903,2.333565327271799,6,H100,,True,0.9,FP16,4,2048
