simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-roofline,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,ttft_mean,409.2108555,45.68358012591489,795.7504082913749,795.7504082913749,363.5272753740851,3,H100,,True,0.9,FP16,2,2048
blis-roofline,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,ttft_p90,917.037,50.86676785722375,1702.8214463596366,1702.8214463596366,866.1702321427763,3,H100,,True,0.9,FP16,2,2048
blis-roofline,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,ttft_p99,1561.484,74.87519863061611,1985.4488916995224,1985.4488916995224,1486.608801369384,3,H100,,True,0.9,FP16,2,2048
blis-roofline,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,-1,itl_mean,9.717520814,14.353074054856464,32.29658833459437,-32.29658833459437,4.6355532408564635,3,H100,,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,e2e_mean,151.09752962298023,4795.965222046943,96.84948654489013,-96.84948654489013,4644.8676924239635,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,e2e_p90,197.904,4829.138722736388,95.90187792559706,-95.90187792559706,4631.234722736388,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,e2e_p99,322.421,7300.831228913769,95.58377683457326,-95.58377683457326,6978.410228913769,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,ttft_mean,22.91801436265709,63.891825703710005,64.12997420212034,-64.12997420212034,40.973811341052915,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,ttft_p90,49.6826,63.830506056547165,22.164803211827262,-22.164803211827262,14.147906056547164,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,ttft_p99,80.936,383.0766840651668,78.8721153318139,-78.8721153318139,302.14068406516674,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,0,itl_mean,0.5189454059122396,19.377099505076345,97.32186230567535,-97.32186230567535,18.858154099164103,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,e2e_mean,227.21713539967377,5135.707503015564,95.57573839113196,-95.57573839113196,4908.49036761589,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,e2e_p90,423.691,5251.034655235708,91.93128539767784,-91.93128539767784,4827.343655235708,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,e2e_p99,493.371,5473.958572121338,90.9869431143904,-90.9869431143904,4980.587572121338,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,ttft_mean,48.77971615008156,70.95464423345402,31.252257442673955,-31.252257442673955,22.174928083372457,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,ttft_p90,116.7966,98.77880150452258,18.240551840115693,18.240551840115693,18.01779849547742,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,ttft_p99,211.574,256.0291083995256,17.36330242972013,-17.36330242972013,44.45510839952561,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,itl_mean,0.722418701415353,20.71895850121644,96.51324799278429,-96.51324799278429,19.996539799801088,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,e2e_mean,190.97899829059827,5038.638279881672,96.209710090658,-96.209710090658,4847.6592815910735,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,e2e_p90,322.431,5228.931335546076,93.8337113396742,-93.8337113396742,4906.500335546077,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,e2e_p99,493.325,5523.6251761857375,91.0688183165126,-91.0688183165126,5030.300176185738,9,H100,1.0,True,0.9,FP16,2,2048
